Lektion;Hebräisch;Deutsch;Wortart;;
VI;אוניברסיטה;Universität;Nomen;;
VI;אבוקדו;Avocado;Nomen;;
VI;אינטרנט;Internet;Nomen;;
VI;בנק;Bank;Nomen;;
VI;מוזיקה;Musik;Nomen;;
VI;פלאפל;Falafel;Nomen;;
VI;פרופסור;Professor/in;Nomen;;
VI;קפה;Kaffee;Nomen;;
VI;הכנסת;die Knesset (israelisches Parlament);Nomen;;
VI;בבקשה;bitte;Andere;;
VI;בוקר טוב;Guten Morgen;Andere;;
VI;ברוך השם;Gott sei Dank;Andere;;
VI;ברוכים הבאים!;Willkommen!;Andere;;
VI;דרישת שלום;Grüße ausrichten;Andere;;
VI;טוב;gut;Adjektiv;;
VI;יופי!;Super! / Toll!;Andere;;
VI;מאוד;sehr;Andere;;
VI;מָה שְׁלוֹמֵךְ?;Wie geht es dir? (weibl.);Fragewort;;
VI;מָה שְׁלוֹמְךָ?;Wie geht es dir? (männl.);Fragewort;;
VI;עכשיו;jetzt;Andere;;
VI;ערב טוב;Guten Abend;Andere;;
VI;אבל;aber;Andere;;
VI;איפה?;wo?;Fragewort;;
  יחידה / Einheit VII;;;;;
VII;יודע;wissen / kennen;Verb;;
VII;חדשות;Nachrichten;Nomen;;
VII;חֶצִי;Hälfte;Nomen;;
VII;רבע;Viertel;Nomen;;
VII;שעה;Stunde;Nomen;;
VII;שעון;Uhr / Armbanduhr;Nomen;;
VII;שקט;Ruhe / Stille;Nomen;;
VII;סונטה;Sonate;Nomen;;
VII;סינית;Chinesisch (Sprache);Nomen;;
VII;סנדוויץ׳;Sandwich;Nomen;;
VII;צ׳יפס;Pommes / Chips;Nomen;;
VII;צ׳כית;Tschechisch (Sprache);Nomen;;
VII;צ׳לו;Cello;Nomen;;
VII;צ׳מבלו;Cembalo ;Nomen;;
VII;קונצ׳רטו;Konzert;Nomen;;
VII;קטשופ;Ketchup;Nomen;;
VII;אחת;eins (weibl.);Zahl;;
VII;שתיים;zwei (weibl.);Zahl;;
VII;שלוש;drei (weibl.);Zahl;;
VII;ארבע;vier (weibl.);Zahl;;
VII;חמש;fünf (weibl.);Zahl;;
VII;שש;sechs (weibl.);Zahl;;
VII;שבע;sieben (weibl.);Zahl;;
VII;שמונה;acht (weibl.);Zahl;;
VII;תשע;neun (weibl.);Zahl;;
VII;עשר;zehn (weibl.);Zahl;;
VII;אחת עשרה;elf (weibl.);Zahl;;
VII;שתים עשרה;zwölf (weibl.);Zahl;;
VII;אז;dann / damals;Andere;;
VII;איזה מזל!;Was für ein Glück!;Andere;;
VII;מה השעה?;Wie spät ist es?;Andere;;
  יחידה / Einheit א;;;;;
א;חָבֵר / חֲבֵרָה;Freund / Freundin;Nomen;;
א;מִשְׁנָה;Mischna;Nomen;;
א;קיבוץ;Kibbuz;Nomen;;
א;שבת;Schabbat / Samstag;Nomen;;
א;תלמוד;Talmud;Nomen;;
א;תנ״ך;Tanach (Bibel);Nomen;;
א;דיסקוטק;Diskothek;Nomen;;
א;טלפון;Telefon;Nomen;;
א;יוגה;Yoga;Nomen;;
א;מדיטציה;Meditation;Nomen;;
א;פילוסופיה;Philosophie;Nomen;;
א;פיקניק;Picknick;Nomen;;
א;קפטריה;Cafeteria / Mensa;Nomen;;
א;כולם;alle / jeder;Andere;;
  יחידה / Einheit 1;;;;;
1;אומר;sagen;Verb;;
1;מבין;verstehen;Verb;;
1;מצטער;tut mir leid / es tut mir leid;Verb;;
1;נוסע;fahren / reiten;Verb;;
1;עובד;arbeiten;Verb;;
1;קונה;kaufen;Verb;;
1;שומע;hören;Verb;;
1;אפס;Null;Nomen;;
1;בוקר;Morgen;Nomen;;
1;חנות;Laden / Geschäft;Nomen;;
